Target Language;Target Word;Ariya Source Word;Definition;Tavernier 2007 Page Number;Variants;Type;Transmission;;Med;M edian
Babylonian;Ar-ta;Ạrtā;Truth, Justice, Right Order;33;;Abstract Expression;Direct;;Asm;Archaisism
Elamite;Ir-da-ha;Ạrtā;Truth, Justice, Right Order;33;;Abstract Expression;Direct;;EI;East Iranian
Elamite;Har-ma-[iš]-tam6;Ar(u)vastam;Physical Prowess;33;;Abstract Expression;Direct;;;
Elamite;Zí-iš-šá;Čiça;Seed, Lineage;33;;Abstract Expression;Direct;;;
Elamite;Mi-sa-iš;Miθa;Evil;33;;Abstract Expression;Direct;;;
Elamite;Ši-ia-ti (-iš/-um);Šyātiš/m;Prosperity;33;;Abstract Expression;Direct;;;
Elamite;Kur-r[a-a]d-[du]-um;Xraθum;Wisdom;33;;Abstract Expression;Direct;;;
Elamite;Šá-iš-šá-[um];Xšaçam;Dominion, Kingship;33;;Abstract Expression;Direct;;;
Elamite;Tar-ma;Dr(u)va;Stable, Firm;33;;Quality Adjective;Direct;;;
Elamite;Pír-ra-šá-um;Frašam;Excellent;33;;Quality Adjective;Direct;;;
Elamite;Bar-ru-za-na-iš-be-na;Paruzanānām;Having many kinds of people;33-34;Bar-ru-za-na-na-um, Ba-ru-za-na-na-um;Quality Adjective;Direct;;;
Babylonian;Ti-gir-ḫu-ú-du;Tigraxaudā;Wearing the pointed cap;34;;Quality Adjective;Direct;;;
Elamite;Ti-ik-ra-ka4-u-da;Tigraxaudā;Wearing the pointed cap;34;;Quality Adjective;Direct;;;
Elamite;Mi-iš-ba-za-na;Vispazana;Having all kinds of people;34;;Quality Adjective;Direct;;;
Elamite;Ab-ba-nu-ia-ak-ka4;Apan(i)yāka;Great-great-grandfather;34;Pír-ra-ma-ud-da-ra;Appelative;Direct;;;
Elamite;Pír-ra-ma-da-ra-um;Framātāram;Master, Lord, Commander;34;;Appelative;Direct;;;
Aramaic;Mgwš;Maguš;Magian;34;;Appelative;Direct;;;
Babylonian;Ma-gu-šú;Maguš;Magian;34;;Appelative;Direct;;;
Elamite;Ma-ku-iš;Maguš;Magian;34;;Appelative;Direct;;;
Elamite;Nu-ia-ak-kam;N(i)yākam;Grandfather;34;;Appelative;Direct;;;
Elamite;Da-ak-ka4-bar-ra;Takabarā;Wearing the Petasos Shield;34;Da-ka4-bar-ra-be;Appelative;Direct;;;
Babylonian;Ṣ[i-i]n-ga-[ab]-ru-ú;Xšaçapāvana;Satrap [Thematisation];34-35;;Appelative;Direct;;;
Elamite;Ši-in-ka4-ab-ru-iš;Xšaçapāvana;Satrap [Thematisation];34-36;;Appelative;Direct;;;
Elamite;Iš-du-na-um;Stūnā;Column;36;;Appelative;Direct;;;
Babylonian;Da-šá-ri;Taçara;Palace;36;Ta-áš-ri;Appelative;Direct;;;
Elamite;Da-iz-za-ra-(um);Taçara;Palace;36;Da-za-ra;Appelative;Direct;;;
Elamite;Ha-ra-an-za-na-um;Āranjanam;Colour, Painting materials;36;;Colour and Colour Related;Direct;;;
Elamite;Ka4-bu-u-[da-ka4];Kapautaka;Blue;36;Ka4-ba-ut-tuk-ka4;Colour and Colour Related;Direct;;;
Babylonian;_šá_;_Čā_;And;36;;Conjuction or Preposition;Direct;;;
Elamite;_zí_;_Čā_;And;36;;Conjuction or Preposition;Direct;;;
Elamite;Ha-iz-za;Haçā;Away From;36;;Conjuction or Preposition;Direct;;;
Elamite;Ba-iš-šá-ma;Pasāva;Afterwards… me;36;;Conjuction or Preposition;Direct;;;
Elamite;ud-da;Utā;And;36;;Conjuction or Preposition;Direct;;;
